Audio,OptionA,OptionB,Question,ExpAnswer,Item,Group
01CO.wav,A. O Otávio não salvou ninguém.,B. O Otávio não foi salvo por ninguém.,O que aconteceu na  piscina do hotel?,B,01CO,A
02CS.wav,A. O Antônio não foi indicado por ninguém para o jornal.,B. O Antônio não indicou ninguém para o jornal.,O que aconteceu na emissora de rádio?,A,02CS,A
03COFS.wav,A. A Larissa não atendeu ninguém durante o serviço de bordo.,B. A Larissa não foi atendida por ninguém durante o serviço de bordo.,O que aconteceu no voo internacional?,B,03COFS,A
04CSFO.wav,A. O Francisco não foi entediado por ninguém.,B. O Francisco não entediou ninguém.,O que aconteceu durante a conversa?,A,04CSFO,A
05CO.wav,A. A diretora não presenteou ninguém com um colar. ,B. A diretora não foi presentada com um colar por ninguém. ,O que aconteceu na comemoração de aniversário?,B,05CO,A
06CS.wav,A. O flautista não foi impressionado por ninguém.,B. O flautista não impressionou ninguém.,O que aconteceu na gravação do disco?,A,06CS,A
07COFS.wav,A. A antagonista não estapeou ninguém.,B. A antagonista não foi estapeada por ninguém.,O que aconteceu na cena final do filme?,B,07COFS,A
08CSFO.wav,A. O jornalista não foi informado por ninguém.,B. O jornalista não informou ninguém.,O que aconteceu após o ocorrido no clube?,A,08CSFO,A
09CO.wav,A. O Camilo não denunciou ninguém aos policiais.,B. O Camilo não foi denunciado aos policiais por ninguém.,O que aconteceu depois da agressão?,B,09CO,A
10CS.wav,A. A Priscila não foi encontrada por ninguém na pista de dança.,B. A Priscila não encontrou ninguém na pista de dança.,O que aconteceu durante a balada?,A,10CS,A
11COFS.wav,A. O Vinícius não contratou ninguém para o cargo efetivo.,B. O Vinícius não foi contratado para o cargo efetivo por ninguém.,O que aconteceu após a reunião?,B,11COFS,A
12CSFO.wav,A. A Carolina não foi defendida por ninguém.,B. A Carolina não defendeu ninguém.,O que aconteceu durante o julgamento?,A,12CSFO,A
13CO.wav,A. A blogueira não entrevistou ninguém sobre o evento.,B. A blogueira não foi entrevistada sobre o evento por ninguém.,O que aconteceu no mês passado?,B,13CO,A
14CS.wav,A. O cozinheiro não foi xingado por ninguém pelos pratos quebrados.,B. O cozinheiro não xingou ninguém pelos pratos quebrados.,O que aconteceu durante a festa?,A,14CS,A
15COFS.wav,A. A assistente não avisou ninguém sobre o figurino.,B. A assistente não foi avisada por ninguém sobre a figurino.,O que aconteceu antes da filmagem?,B,15COFS,A
16CSFO.wav,A. Os funcionários não foram convidados por ninguém para a festa.,B. Os funcionários não convidaram ninguém para a festa.,O que aconteceu no final do ano?,A,16CSFO,A
17CO.wav,A. A Isabela não corrigiu ninguém.,B. A Isabela não foi corrigida por ninguém.,O que aconteceu durante o ensaio de ballet?,B,17CO,A
18CS.wav,A. O Eduardo não foi levado para o trabalho por ninguém.,B. O Eduardo não levou ninguém para o trabalho.,O que aconteceu depois da palestra?,A,18CS,A
19COFS.wav,A. A Marília não ajudou ninguém.,B. A Marília não foi ajudada por ninguém.,O que aconteceu durante a viagem?,B,19COFS,A
20CSFO.wav,A. O Benício não foi demitido da empresa por ninguém.,B. O Benício não demitiu ninguém da empresa.,O que aconteceu depois das férias?,A,20CSFO,A
21CO.wav,A. O noivo não beijou ninguém no altar.,B. O noivo não foi beijado por ninguém no altar.,O que aconteceu no fim da cerimônia?,B,21CO,A
22CS.wav,A. A colega não foi cumprimentada por ninguém após a homenagem.,B. A colega não cumprimentou ninguém após a homenagem.,O que aconteceu na conferência?,A,22CS,A
23COFS.wav,A. O enteado não insultou ninguém ao discutir sobre política.,B. O enteado não foi insultado por ninguém ao discutir sobre política.,O que aconteceu no almoço de domingo?,B,23COFS,A
24CSFO.wav,A. O cliente não levou soco de ninguém durante a briga.,B. O cliente não socou ninguém durante a briga.,O que aconteceu na porta da boate?,A,24CSFO,A
25D.wav,A. O Diego contou algo na sexta-feira.,B. O Caio viajou na sexta feira.,O que aconteceu na faculdade?,D,25D,A
26D.wav,A. A madrinha foi rude durante uma briga.,B. A afilhada  insistiu sobre algo durante uma briga.,O que aconteceu na festa de natal?,D,26D,A
27D.wav,A. A Maria ligou para Rebeca.,B. A Maria ligou para Elena.,O que aconteceu no departamento?,D,27D,A
28D.wav,A. A vilã estava de moto.,B. A heroína estava de moto.,O que aconteceu na nova série de super-heróis?,D,28D,A
29D.wav,A. A história do repórter foi contada para a plateia. ,B. A história do cantor famoso foi contada para a plateia,O que aconteceu na entrevista com o cantor famoso?,D,29D,A
30D.wav,A. A Elisa usava binóculos brancos,B. A Marina usava binóculos brancos ,O que aconteceu durante o espetáculo de dança?,D,30D,A
31D.wav,A. O detetive estava num carro preto.,B. O suspeito estava num carro preto.,O que aconteceu na sexta-feira à noite?,D,31D,A
32D.wav,A. O Rodrigo venceu na reunião do partido.,B. O Igor anunciou algo na reunião do partido.,O que aconteceu depois da apuração?,D,32D,A
33D.wav,A. O Thiago revelou algo em fevereiro.,B. O Bruno se formou em fevereiro.,O que aconteceu no curso técnico?,D,33D,A
34D.wav,A. O réu escapou na saída do julgamento.,B. O advogado afirmou algo na saída do julgamento.,O que aconteceu em frente ao tribunal?,D,34D,A
35D.wav,A. O Cláudio ouviu algo após a prova de matemática.,B. O Érico surtou após a prova de matemática.,O que aconteceu na quadra da escola?,D,35D,A
36D.wav,A. A avó deu um livro de receitas para a neta.,B. A avó deu um livro com as suas receitas para a neta.,O que aconteceu no aniversário do ano passado?,D,36D,A
37D.wav,A. O Leonardo e o Paulo chamaram o Fábio para um passeio no bosque.,B. O Leonardo chamou o Paulo e o Fábio para um passeio no parque.,O que aconteceu na quarta à tarde?,D,37D,A
38D.wav,A. O garçom estava esperando os pratos há muito tempo.,B. O cozinheiro estava esperando os pratos há muito tempo.,O que aconteceu no buffet?,D,38D,A
39D.wav,A. Carla descobriu algo sobre Jairo na sexta-feira.,B. Jairo retornou para algum lugar na sexta-feira.,O que aconteceu na escola?,D,39D,A
40D.wav,A. Marcela nasceu na metade do mês de outubro.,B. Alex descobriu algo sobre a Marcela em outubro.,O que aconteceu na ligação com Carlos?,D,40D,A
41D.wav,A. O chefe da Marina denunciou algo no encontro com o delegado.,B. Júlio roubou algo no encontro com o delegado.,O que aconteceu na vara de justiça?,D,41D,A
42D.wav,A. A Sandy renunciou ao cargo no início do ano.,B. O Luiz confirmou algo no início do ano.,O que aconteceu durante a confraternização?,D,42D,A
43D.wav,A. Paulo afirmou algo no ofício entregue aos sócios.,B. Lúcia mentiu sobre algo no ofício entregue aos sócios.,O que aconteceu na reunião geral?,D,43D,A
